,FacilityName,StreeetNo,StreetName_Suffix,StreetDirection,UnitNumber,Municipality,Telephone,Fax,Address,Coordinates,Latitude,Longitude
21,Dinh Dinh Asian Foods,79,Geneva Street,,,St. Catharines,(905) 685-4977,,"79, Geneva Street, St. Catharines","79, Geneva Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2R3M9, Canada",43.1641285461538,-79.2404045615385
22,Hendriks ValuMart ,130,Queen Street,,,Niagara-on-the-Lake,(905) 468-7731,(905) 468-8437,"130, Queen Street, Niagara-on-the-Lake","Hendriks Valu-Mart, 130 Queen, Queen Street, Niagara-on-the-Lake, Regional Municipality of Niagara, Ontario, L0S 1J0, Canada",43.25635625,-79.0752579973841
23,Commisso's Fresh Food,6161,Thorold Stone Rd.,,14,Niagara Falls,(905) 357-6600,(905) 357-6604,"6161, Thorold Stone Rd., Niagara Falls","6161, Thorold Stone Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2J 1C2, Canada",43.1154499,-79.098876
24,Walmart,285,Geneva Street,,,St. Catharines,(905) 646-4566,,"285, Geneva Street, St. Catharines","Ikea, 285, Geneva Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 2G1, Canada",43.1770385,-79.2447908
25,Tigchelaar Berry Farms Market,4297,Jordan Rd.,,,Lincoln,(905) 981-6962,,"4297, Jordan Rd., Lincoln","4297, Jordan Road, Lincoln, Regional Municipality of Niagara, Ontario, L0R 1S0, Canada",43.170515725,-79.360564875
26,ValuMart,1551,Niagara Stone Road,,,Niagara-on-the-Lake,(905) 468-3286,,"1551, Niagara Stone Road, Niagara-on-the-Lake","1551, Niagara Stone Road, Niagara-on-the-Lake, Regional Municipality of Niagara, Ontario, L0S 1J0, Canada",43.2498660425806,-79.087005776129
27,Kurtz Country Market,16006,Niagara Parkway,,,Niagara-on-the-Lake,(905) 468-2937,(905) 468-7479,"16006, Niagara Parkway, Niagara-on-the-Lake","Niagara Parkway, Niagara-on-the-Lake, Regional Municipality of Niagara, Ontario, L0S1L0, Canada",43.1586433,-79.050642
28,Cheese Secrets,38,Market Street,,,Niagara-on-the-Lake,(905) 468-2555,,"38, Market Street, Niagara-on-the-Lake","38, Market Street, Niagara-on-the-Lake, Regional Municipality of Niagara, Ontario, L0S 1J0, Canada",43.254873,-79.072424
29,No Frills,390,Lincoln Street,E,,Welland,(905) 732-3367,905-732-4176,"390, Lincoln Street, Welland","390, Lincoln Street, Welland, Regional Municipality of Niagara, Ontario, L3B 2E2, Canada",42.9840046956522,-79.2366494130435
30,Sobey's,34,Livingston Avenue,,,Grimsby,(905) 945-9973,,"34, Livingston Avenue, Grimsby","34, Livingston Avenue, Nelles Estates, Grimsby, Regional Municipality of Niagara, Ontario, L3M 3V6, Canada",43.1961926,-79.5686936833333
31,Shoppers Drug Mart,6565,Lundy's Lane,,,Niagara Falls,(905) 354-3845,,"6565, Lundy's Lane, Niagara Falls","Canada Post, 6565, Lundys Lane, Niagara Falls, Regional Municipality of Niagara, Ontario, L2G 1T6, Canada",43.0900109,-79.1045196
32,Gallagher's,346,Highway 20,W,,Pelham,(905) 892-0698,,"346, Highway 20, Pelham",,,
33,Peanut Mill,191,Welland Avenue,,,St. Catharines,(905) 685-8848,,"191, Welland Avenue, St. Catharines","191, Welland Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L2R 5E7, Canada",43.1661231,-79.2397191
34,Sobey's ,609,South Pelham Road,,,Welland,(905) 735-7467,,"609, South Pelham Road, Welland","609, South Pelham Road, Welland, Regional Municipality of Niagara, Ontario, L3C 3C9, Canada",43.0034945115385,-79.2855719461539
35,Joe's ValuMart,311,Gorham Road,,,Fort Erie,(905) 894-5266,(905) 894-3044,"311, Gorham Road, Fort Erie","311, Gorham Road, Fort Erie, Regional Municipality of Niagara, Ontario, L0S1N0, Canada",42.8827983,-79.0594133
36,Real Canadian Superstore,411,Louth Street,,,St. Catharines,(905) 984-8408,(905) 984-8606,"411, Louth Street, St. Catharines","411, Louth Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2S 0C7, Canada",43.1519262,-79.2632246
37,FreshCo,318,Ontario Street,,,St. Catharines,(905) 684-8597,,"318, Ontario Street, St. Catharines","318, Ontario Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2R5L3, Canada",43.1689778363636,-79.2638578363636
38,Food Basics,325,Thorold Road,,,Welland,(905) 735-4320,,"325, Thorold Road, Welland","Food Basics, 325, Thorold Road, Welland, Regional Municipality of Niagara, Ontario, L3C 3W4, Canada",43.0028224,-79.2724520589049
39,T & K Eastern Import,365,Vine Street,,,St. Catharines,(905) 646-9840,,"365, Vine Street, St. Catharines","365, Vine Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 4T5, Canada",43.18586205,-79.23100015
40,Food Basics,6770,McLeod Road,,,Niagara Falls,(905) 356-1103,(905) 356-1529,"6770, McLeod Road, Niagara Falls","6770, McLeod Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2G 5A6, Canada",43.0704947914894,-79.1073491446809
41,Shoppers Drug Mart,20,Highway 20,E,,Pelham,905-892-5791,905-892-1020,"20, Highway 20, Pelham",,,
42,Shoppers Drug Mart,275,Fourth Avenue,,,St. Catharines,(905) 641-2244,(905) 641-1751,"275, Fourth Avenue, St. Catharines","Fourth Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L2R 6P9, Canada",43.1547267,-79.2976017
43,Food Basics,275,Geneva Street,,,St. Catharines,(905) 937-6523,,"275, Geneva Street, St. Catharines","275, Geneva Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 2G1, Canada",43.1771141,-79.2409964
44,No Frills - Brent & Jenny's,53,Westside Road,,,Port Colborne,(905) 834-5577,(905) 834-8903,"53, Westside Road, Port Colborne",,,
45,Outlet Collection at Niagara- Davids Tea,300,Taylor Rd.,,725,Niagara-on-the-Lake,(905) 685-1734,,"300, Taylor Rd., Niagara-on-the-Lake","Tommy Hilfiger, 300, Taylor Road, Niagara-on-the-Lake, Regional Municipality of Niagara, Ontario, L0S 1J0, Canada",43.1580089,-79.1717666
46,No Frills,4961,King Street,,,Lincoln,(905) 563-4246,(905) 563-1932,"4961, King Street, Lincoln","4961, King Street, Lincoln, Regional Municipality of Niagara, Ontario, L0R 1B5, Canada",43.1646553,-79.4728732
47,Costco,3,North Service Road,,,St. Catharines,(905) 646-2008,,"3, North Service Road, St. Catharines","North Service Road, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 3Z8, Canada",43.1789447,-79.2502827
48,The New Food Box,7000,McLeod Road,,,Niagara Falls,(905) 357-6377,,"7000, McLeod Road, Niagara Falls","7000, McLeod Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2G 5M9, Canada",43.0703794684211,-79.1110060842105
49,Sobey's,110,Highway 20,E,,Pelham,(905) 892-2570,,"110, Highway 20, Pelham",,,
50,Shoppers Drug Mart,5175,Victoria Avenue,,,Niagara Falls,(905) 356-5096,(905) 356-6176,"5175, Victoria Avenue, Niagara Falls","5175, Victoria Avenue, Niagara Falls, Regional Municipality of Niagara, Ontario, L2G3L2, Canada",43.099141,-79.0731682
51,Foodland,9,Pine Street,N,,Thorold,(905) 227-0533,,"9, Pine Street, Thorold",,,
52,Foodland,176,Griffin Street,,,West Lincoln,(905) 957-7015,,"176, Griffin Street, West Lincoln","176, Griffin Street, Smithville, West Lincoln, Regional Municipality of Niagara, Ontario, L0R 2A0, Canada",43.0994120764706,-79.5463124352941
53,Sobey's,4610,Ontario Street,,,Lincoln,(905) 563-1088,,"4610, Ontario Street, Lincoln","4610, Ontario Street, Lincoln, Regional Municipality of Niagara, Ontario, L0R 1B5, Canada",43.1808788545455,-79.4768983545455
54,Lococo's,4167,Victoria Avenue,,,Niagara Falls,905-358-3281,905-358-0384,"4167, Victoria Avenue, Niagara Falls","4167, Victoria Avenue, Niagara Falls, Regional Municipality of Niagara, Ontario, L2E 0A2, Canada",43.1135854,-79.0736689
55,Zehrs,821,Niagara Street,,,Welland,(905) 732-9377,(905) 732-9216,"821, Niagara Street, Welland","Zehrs Food Plus, 821, Niagara Street, Welland, Regional Municipality of Niagara, Ontario, L3C 1M4, Canada",43.017185,-79.2516702571724
56,Walmart,420,Vansickle Drive,,,St. Catharines,(905) 687-9212,,"420, Vansickle Drive, St. Catharines",,,
57,Food Basics,3770,Montrose Road,,,Niagara Falls,(905) 371-3200,,"3770, Montrose Road, Niagara Falls","3770, Montrose Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2J 2Y5, Canada",43.1186050241379,-79.1247792689655
58,Foodland,3357,King Street,,,Lincoln,(905) 562-5881,(905) 562-3322,"3357, King Street, Lincoln","3357, King Street, Lincoln, Regional Municipality of Niagara, Ontario, L0R2C0, Canada",43.1510455282051,-79.3924005666667
59,Walmart ,7481,Oakwood Drive,,,Niagara Falls,(905) 371-3999,,"7481, Oakwood Drive, Niagara Falls","Walmart, 7481, Oakwood Drive, Niagara Falls, Regional Municipality of Niagara, Ontario, L2H 2E9, Canada",43.0679987,-79.1192090112361
60,Bamboo Natural Food Market Inc,211,Martindale Road,,1B,St. Catharines,(289) 362-5637,(289) 362-5923,"211, Martindale Road, St. Catharines","211, Martindale Road, St. Catharines, Regional Municipality of Niagara, Ontario, L2R5L3, Canada",43.1720582,-79.2732827
61,Sobey's,3714,Portage Rd.,,,Niagara Falls,(905)-371-2270,(905) 371-2525,"3714, Portage Rd., Niagara Falls","3714, Portage Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2J 1C2, Canada",43.11937771875,-79.09927728125
62,Zehrs,6940,Morrison Street,,,Niagara Falls,(905) 358-5544,(905) 358-0982,"6940, Morrison Street, Niagara Falls","Morrison Street, Niagara Falls, Regional Municipality of Niagara, Ontario, L2E 4B9, Canada",43.104501,-79.0797414
63,Meg Africana,1A,Wiley Street,,,St. Catharines,(289) 362-2445,,"1A, Wiley Street, St. Catharines","1, Wiley Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2R 4A7, Canada",43.1668639,-79.237786
64,Food Basics,63,Main Street,W,,Grimsby,(905) 945-3323,(905) 945-7222,"63, Main Street, Grimsby","Main Street, Covenham St Bartholomew, East Lindsey, Lincolnshire, East Midlands, England, LN11 0PF, UK",53.4318437,0.0124337
65,No Frills,6460,Lundy's Lane,,,Niagara Falls,(905) 357-4623,(905) 357-3863,"6460, Lundy's Lane, Niagara Falls","Lundys Lane, Niagara Falls, Regional Municipality of Niagara, Ontario, L2H 1H3, Canada",43.0858844,-79.1556016
66,Shoppers Drug Mart,387,Scott Street,,,St. Catharines,(905) 934-4260,,"387, Scott Street, St. Catharines","387, Scott Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 4T5, Canada",43.190141,-79.2261125
67,Real Canadian Superstore,361,South Service Road ,,,Grimsby,(905) 309-3911,,"361, South Service Road , Grimsby","361, South Service Road, Grimsby, Regional Municipality of Niagara, Ontario, L3M 3V6, Canada",43.2044672,-79.5948924
68,Fiesta Filipino,8003,Lundy's Lane,,,Niagara Falls,(905) 357-3758,,"8003, Lundy's Lane, Niagara Falls","8003, Lundys Lane, Niagara Falls, Regional Municipality of Niagara, Ontario, L2H 1H3, Canada",43.0890568,-79.1318336
69,Rexall Drug Store ,258,Lake Street,,,St. Catharines,(905) 684-2305,(905) 684-0620,"258, Lake Street, St. Catharines","Lake Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 3Z8, Canada",43.1788536,-79.2514068
70,Zehrs,285,Geneva Street,,,St. Catharines,(905) 646-7671,,"285, Geneva Street, St. Catharines","Ikea, 285, Geneva Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 2G1, Canada",43.1770385,-79.2447908
71,Shoppers Drug Mart,150,Main Street,E,,Grimsby,(905) 945-5422,,"150, Main Street, Grimsby","Main Street, Covenham St Bartholomew, East Lindsey, Lincolnshire, East Midlands, England, LN11 0PF, UK",53.4318437,0.0124337
72,Shoppers Drug Mart,3703,Portage Road,,,Niagara Falls,(905) 354-3871,,"3703, Portage Road, Niagara Falls","3703, Portage Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2J 1C2, Canada",43.11959298125,-79.0996444125
73,No Frills - Mark's,581,Lake Street,,,St. Catharines,(905) 937-4290,(905) 937-6219,"581, Lake Street, St. Catharines","581, Lake Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 3Z8, Canada",43.1988681428571,-79.2525637142857
74,Shoppers Drug Mart,800,Niagara Street ,,,Welland,(905) 735-7525,,"800, Niagara Street , Welland","Cineplex Odeon Seaway Mall Cinemas, 800, Niagara Street, Welland, Regional Municipality of Niagara, Ontario, L3C 1M3, Canada",43.01565625,-79.2454600223561
75,Foodland,8251,Dock Street,,,Niagara Falls,(905) 295-6133,,"8251, Dock Street, Niagara Falls","8251, Dock Street, Chippawa, Niagara Falls, Regional Municipality of Niagara, Ontario, L2G 6B2, Canada",43.0565979,-79.0519881
76,National Grocers Cash & Carry,5772,Main Street,,,Niagara Falls,(905) 356-4795,,"5772, Main Street, Niagara Falls","5772, Main Street, Niagara Falls, Regional Municipality of Niagara, Ontario, L2G 5Z3, Canada",43.0909341894457,-79.092817244056
77,Orchard Glen Farm Market,116,Four Mile Creek Road,,,Niagara-on-the-Lake,(905) 262-5531,,"116, Four Mile Creek Road, Niagara-on-the-Lake",,,
78,Sobey's,400,Scott Street,,,St. Catharines,(905) 935-9974,,"400, Scott Street, St. Catharines","Grantham Plaza, 400, Scott Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 4T5, Canada",43.1881766,-79.2281991483962
79,Shoppers Drug Mart,600,Ontario Street,,,St. Catharines,(905) 937-3532,(905) 937-1488,"600, Ontario Street, St. Catharines","600, Ontario Street, Port Dalhousie, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 3Z8, Canada",43.19563,-79.259821
80,No Frills - Ron's ,525,Welland Avenue,,,St. Catharines,(905) 685-4096,,"525, Welland Avenue, St. Catharines","525, Welland Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 3Y1, Canada",43.176524,-79.2107659
81,Walmart,525,Welland Avenue,,,St. Catharines,(905) 685-4100,,"525, Welland Avenue, St. Catharines","525, Welland Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 3Y1, Canada",43.176524,-79.2107659
82,National Grocers Cash & Carry,189,Bunting Road,,,St. Catharines,(905) 685-5462,,"189, Bunting Road, St. Catharines","Bunting Road, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 7C4, Canada",43.2057929,-79.2115288
83,Pistachio's,526,Welland Avenue,,,St. Catharines,(905) 684-3312,,"526, Welland Avenue, St. Catharines","526, Welland Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 3Y1, Canada",43.1762758,-79.2106408
84,Sobey's,343,Glendale Avenue,,,St. Catharines,(905) 680-8563,,"343, Glendale Avenue, St. Catharines","Wild Wing, 343, Glendale Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L0S 1J0, Canada",43.1366036,-79.2146926
85,Food Basics,149,Hartzel Road,,,St. Catharines,(905) 684-7439,,"149, Hartzel Road, St. Catharines","149, Hartzel Road, St. Catharines, Regional Municipality of Niagara, Ontario, L2P 1N6, Canada",43.1493306,-79.214416
86,Zehrs,221,Glendale Avenue,,,St. Catharines,(905) 984-3420,,"221, Glendale Avenue, St. Catharines","The Pen Centre, 221, Glendale Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L2T 2K9, Canada",43.13595215,-79.2250447107949
87,FreshCo,286,Bunting Road,,,St. Catharines,(905) 687-9462,,"286, Bunting Road, St. Catharines","286, Bunting Road, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 3Y1, Canada",43.17892,-79.210106
88,Elda's Store Latin & Jamaican Products,278,Bunting Road,,2,St. Catharines,(289) 362-0369,,"278, Bunting Road, St. Catharines","278, Bunting Road, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 3Y1, Canada",43.1768345,-79.2100142
89,Pupo's Food Market,195,Maple Avenue,,,Welland,(905) 735-8401,,"195, Maple Avenue, Welland","Pupo's Food Market, 195, Maple Avenue, Welland, Regional Municipality of Niagara, Ontario, L3C-5G7, Canada",42.9885579,-79.2595555866215
90,Walmart,750,Garrison Road,,,Fort Erie,(905) 991-9971,,"750, Garrison Road, Fort Erie","750, Garrison Road, Fort Erie, Regional Municipality of Niagara, Ontario, L2A 1P1, Canada",42.9053426333333,-78.9442583433333
91,Shoppers Drug Mart,125,Carlton Street,,8A,St. Catharines,(905) 688-2132,(905) 688-2722,"125, Carlton Street, St. Catharines","Carlton Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2M6T6, Canada",43.1857246,-79.2110756
92,Giant Tiger,200,Fitch Street,,,Welland,905-735-0963,,"200, Fitch Street, Welland","Fitch Street, Welland, Regional Municipality of Niagara, Ontario, L3C 3W6, Canada",42.9944298,-79.2853327
93,Giant Tiger,350,Scott Street,,,St. Catharines,(905) 934-7823,,"350, Scott Street, St. Catharines","350, Scott Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 4T5, Canada",43.1873223,-79.2332406
94,Giant Tiger,120,Welland Avenue,,,St. Catharines,(905) 685-1167,,"120, Welland Avenue, St. Catharines","120, Welland Avenue, St. Catharines, Regional Municipality of Niagara, Ontario, L2R 2N1, Canada",43.1637711,-79.2454267
95,Giant Tiger,20,Highway 20,East,,Pelham,(905) 892-5735,,"20, Highway 20, Pelham",,,
96,Giant Tiger,36,Main Street,West,,Grimsby,(905) 309-4511,,"36, Main Street, Grimsby","Main Street, Covenham St Bartholomew, East Lindsey, Lincolnshire, East Midlands, England, LN11 0PF, UK",53.4318437,0.0124337
97,Giant Tiger,249,St Catharines Street,,,West Lincoln,(905) 957-1855,,"249, St Catharines Street, West Lincoln",,,
